HomeTeam,AwayTeam,FTHG,FTAG,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
Man City,West Brom,1,1,1.7272727272727273,0.5454545454545454,13,8,19,-11,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.6363636363636364,1.5454545454545454,0.7272727272727273,1.0,2.090909090909091,0.5454545454545454,-1.3636363636363635,15.363636363636363,9.454545454545455,5.181818181818182,3.090909090909091,8.272727272727273,15.181818181818182,2.727272727272727,6.090909090909091,3,3,10,4,2.0,0.7272727272727273,1.0909090909090908,2.3636363636363638,12.909090909090908,9.090909090909092,7.818181818181818,14.0,4.363636363636363,2.727272727272727,2.727272727272727,6.7272727272727275,1.8181818181818181,0.18181818181818182,0.5454545454545454,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.9090909090909091,1.4322033898305084,1.4661016949152543
Arsenal,Southampton,1,1,1.1818181818181819,1.8181818181818181,-7,15,5,10,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.9090909090909091,1.9090909090909092,1.2727272727272727,1.5454545454545454,-0.36363636363636365,0.36363636363636365,9.636363636363637,10.636363636363637,3.090909090909091,4.909090909090909,11.818181818181818,10.545454545454545,3.8181818181818183,4.636363636363637,0,0,4,10,0.9090909090909091,2.0,1.6363636363636365,1.6363636363636365,12.545454545454545,9.636363636363637,11.272727272727273,14.0,4.0,3.8181818181818183,3.6363636363636362,6.0,1.0909090909090908,2.0,0.36363636363636365,0.5454545454545454,0.0,0.36363636363636365,0.7272727272727273,0.18181818181818182,1.4285714285714286,1.4621848739495797
Leeds,Newcastle,5,2,1.1666666666666667,1.4166666666666667,-3,14,12,2,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.4166666666666667,1.4166666666666667,1.3333333333333333,1.8333333333333333,1.75,-0.4166666666666667,-0.4166666666666667,14.5,9.0,5.416666666666667,3.25,14.833333333333334,16.333333333333332,5.666666666666667,6.0,0,3,4,9,1.1666666666666667,1.0,1.8333333333333333,0.6666666666666666,14.0,7.333333333333333,13.666666666666666,13.5,5.166666666666667,2.3333333333333335,4.833333333333333,4.833333333333333,0.8333333333333334,1.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,1.425,1.4583333333333333
Leicester,Everton,0,2,2.0,1.6666666666666667,4,3,10,-7,0.6666666666666666,0.5,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,2.0,1.75,1.25,1.5,0.75,0.25,10.833333333333334,11.5,4.583333333333333,4.916666666666667,11.916666666666666,12.25,4.5,4.583333333333333,3,1,9,4,1.5,1.3333333333333333,1.3333333333333333,1.3333333333333333,11.666666666666666,11.333333333333334,11.5,10.333333333333334,3.8333333333333335,4.666666666666667,4.333333333333333,4.166666666666667,1.5,1.6666666666666667,0.5,0.5,0.0,0.16666666666666666,0.5,0.3333333333333333,1.4545454545454546,1.462809917355372
Fulham,Brighton,0,0,0.6666666666666666,0.8333333333333334,-2,18,16,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,1.0,1.25,1.8333333333333333,1.75,-0.8333333333333334,-0.5,11.833333333333334,12.25,4.0,3.5,12.666666666666666,8.583333333333334,5.75,3.0833333333333335,0,0,6,5,1.0,1.5,2.0,1.8333333333333333,12.333333333333334,11.5,11.666666666666666,9.5,4.166666666666667,3.5,5.833333333333333,3.3333333333333335,0.6666666666666666,1.1666666666666667,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,1.4426229508196722,1.4672131147540983
Liverpool,Tottenham,2,1,2.0833333333333335,2.0833333333333335,0,2,1,1,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.08333333333333333,0.08333333333333333,2.25,2.0,1.5,0.8333333333333334,0.75,1.1666666666666667,15.5,11.666666666666666,6.333333333333333,5.0,9.083333333333334,12.166666666666666,3.9166666666666665,3.4166666666666665,3,3,11,13,3.0,2.3333333333333335,1.0,0.6666666666666666,17.333333333333332,13.0,7.833333333333333,12.166666666666666,7.166666666666667,4.833333333333333,3.0,3.8333333333333335,3.0,2.3333333333333335,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.4308943089430894,1.4552845528455285
West Ham,Crystal Palace,1,1,1.6666666666666667,1.4166666666666667,3,9,11,-2,0.5,0.4166666666666667,0.5,0.4166666666666667,0.3333333333333333,0.4166666666666667,1.6666666666666667,1.5,1.25,1.4166666666666667,0.4166666666666667,0.08333333333333333,13.0,10.666666666666666,4.5,3.9166666666666665,11.416666666666666,13.0,4.333333333333333,4.583333333333333,0,3,9,6,1.5,1.6666666666666667,1.1666666666666667,1.6666666666666667,12.833333333333334,12.666666666666666,14.0,13.333333333333334,4.5,4.666666666666667,4.333333333333333,4.333333333333333,1.6666666666666667,1.5,0.5,0.5,0.16666666666666666,0.0,0.3333333333333333,0.5,1.435483870967742,1.4516129032258065
Aston Villa,Burnley,0,0,1.8333333333333333,0.8333333333333334,12,7,17,-10,0.5833333333333334,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.3333333333333333,0.5,2.0,0.5,1.0833333333333333,1.5,0.9166666666666666,-1.0,16.166666666666668,8.916666666666666,5.916666666666667,2.75,10.833333333333334,14.666666666666666,4.083333333333333,5.25,1,3,7,8,2.0,0.6666666666666666,1.8333333333333333,2.0,13.666666666666666,9.166666666666666,10.166666666666666,15.5,5.166666666666667,2.6666666666666665,4.166666666666667,5.333333333333333,1.0,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.5,0.5,1.432,1.448
Sheffield United,Man United,2,3,0.08333333333333333,1.9166666666666667,-22,20,5,15,0.0,0.5833333333333334,0.0,0.5833333333333334,0.9166666666666666,0.25,0.4166666666666667,1.8333333333333333,1.75,1.5833333333333333,-1.3333333333333333,0.25,8.666666666666666,13.333333333333334,2.6666666666666665,5.25,15.083333333333334,11.5,5.583333333333333,3.9166666666666665,0,1,0,13,0.3333333333333333,2.6666666666666665,1.3333333333333333,1.1666666666666667,8.5,13.0,14.5,10.166666666666666,3.1666666666666665,5.666666666666667,5.666666666666667,3.5,0.16666666666666666,2.5,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.0,1.4206349206349207,1.4365079365079365
Crystal Palace,Liverpool,0,7,1.4166666666666667,2.0833333333333335,-8,11,2,9,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.08333333333333333,1.5,2.25,1.4166666666666667,1.5,0.08333333333333333,0.75,10.666666666666666,15.5,3.9166666666666665,6.333333333333333,13.0,9.083333333333334,4.583333333333333,3.9166666666666665,3,3,6,11,1.3333333333333333,1.5,1.1666666666666667,2.0,8.666666666666666,13.666666666666666,12.666666666666666,10.333333333333334,3.1666666666666665,5.5,4.833333333333333,4.833333333333333,1.3333333333333333,1.1666666666666667,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.16666666666666666,1.4251968503937007,1.4488188976377954
Southampton,Man City,0,1,1.9166666666666667,1.6666666666666667,3,4,8,-4,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.25,0.16666666666666666,2.0,1.5,1.4166666666666667,1.0,0.5833333333333334,0.5,11.083333333333334,16.25,5.0,5.333333333333333,9.916666666666666,8.0,4.25,2.5833333333333335,3,1,10,8,2.1666666666666665,1.0,1.3333333333333333,0.8333333333333334,13.333333333333334,16.333333333333332,7.0,8.0,6.5,5.5,3.0,2.5,2.0,1.5,0.6666666666666666,0.3333333333333333,0.0,0.5,0.3333333333333333,0.16666666666666666,1.4140625,1.4921875
Everton,Arsenal,2,1,1.6666666666666667,1.0833333333333333,7,10,15,-5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5833333333333334,1.75,0.8333333333333334,1.5,1.25,0.25,-0.4166666666666667,11.5,10.333333333333334,4.916666666666667,3.3333333333333335,12.25,11.666666666666666,4.583333333333333,3.6666666666666665,1,0,4,4,2.1666666666666665,0.8333333333333334,1.6666666666666667,1.0,11.666666666666666,9.166666666666666,14.166666666666666,13.0,5.166666666666667,3.0,5.0,4.0,1.6666666666666667,1.1666666666666667,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,1.4031007751937985,1.4883720930232558
Newcastle,Fulham,1,1,1.3846153846153846,0.6923076923076923,9,13,18,-5,0.38461538461538464,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.38461538461538464,0.6153846153846154,1.3076923076923077,0.9230769230769231,1.6923076923076923,1.6923076923076923,-0.38461538461538464,-0.7692307692307693,9.23076923076923,11.615384615384615,3.3846153846153846,4.0,15.923076923076923,12.384615384615385,5.846153846153846,5.615384615384615,0,1,6,4,1.2307692307692308,0.9230769230769231,1.8461538461538463,1.5384615384615385,8.307692307692308,10.461538461538462,13.846153846153847,12.615384615384615,3.230769230769231,3.5384615384615383,5.076923076923077,5.230769230769231,1.3846153846153846,0.6153846153846154,0.46153846153846156,0.15384615384615385,0.0,0.15384615384615385,0.46153846153846156,0.6153846153846154,1.4076923076923078,1.4846153846153847
